id	filename	md5	size	state
17097dc0-c3db-4340-b62b-9567842d5594	9c38ed5a-076d-4ef9-ab1f-39814bf665b3.FPKM.txt.gz	70afb1f3d6cfc202dbff78d8a25d00cb	512738	released
428df85b-2242-4925-8743-23c2c58990c2	2eb359c8-470a-47b4-a448-eb45df341862.FPKM.txt.gz	f5cb676dbc2421cba0daaccfd70d280a	516929	released
4266c112-6482-4725-bdf9-c79b2134e955	166516f9-dad3-420d-a5bb-1886e7a078d8.FPKM.txt.gz	efd4892a870dfc497aa6a1c7adb4651a	225156	released
d4b76de3-13e2-40b3-9c11-f81b2ca0db20	b05e09d9-71f6-4f2d-a7de-83bc7f5131a4.FPKM.txt.gz	3b15757fe75611526dee256b5dd54d9b	539274	released
8d7be15e-746b-428c-b841-cd24cac92bb1	7f366a6f-9823-4b4d-a785-a5487dcb8b5e.FPKM.txt.gz	d8c70633a2ba1348520f81a5a6e3575b	492532	released
2a3d775d-9ba4-411d-9d56-55c30d1fbcb1	f6178fdc-41f7-458b-a905-4ea298e6b098.FPKM.txt.gz	1994fd900084828e434f323019cc83da	554859	released
f936cf51-a572-46d2-aec7-fdcde17f6797	8f16590f-2437-4c68-a2bd-8406b08198ef.FPKM.txt.gz	acc6d41f72fb60968fd699567fecc992	528195	released
d455f88d-ef48-48f9-9604-f58fc5c61afe	41f627f7-5046-494f-aa5a-c6a87f8011a2.FPKM.txt.gz	dd2117496b3843c009f694cfc5162555	321939	released
c6ae98a8-7513-43a9-a7a6-25ca00a019af	7ac46b6d-5042-4aa9-946d-b75a13d3747f.FPKM.txt.gz	4f30561b0c754bb7a26512f76e8f79fd	538469	released
bb8fb862-4d35-4434-8416-f70f089f2ab8	cc53db99-d81a-490d-b6f2-748a286c9567.FPKM.txt.gz	3cb11556fc035ae9aaca60ef8aa140fc	513003	released
efe4de8a-fba6-476c-8d8f-eec639bcbc21	a348da5e-e399-41da-bf2d-79369769246f.FPKM.txt.gz	a1d220dbceab97585826e0a1c0d3002b	534577	released
ebba8b1b-0470-43e4-9c79-134b96ad1385	80b47148-4783-43bb-9f61-570cb5f0202a.FPKM.txt.gz	80a6c641b031add4e5b933cd6b311ee4	515393	released
63150b0a-4b30-41c7-a88e-7ed0ce1b2e0a	bf688e5b-c62b-424c-b974-5c8b24e46764.FPKM.txt.gz	9622d5ed68e7f4eb9fdd5bad83189126	543443	released
9d6b8cb9-063c-4f1e-abd0-6febf6e7ca4a	20d85581-6c70-4c0c-bc9c-93c3e3a08bc3.FPKM.txt.gz	9ed23bafd0085b2599d13962f138d0e7	523485	released
d734d1ce-dc81-4b24-bb37-1c298ec7a297	a86ebddd-ebf1-4e14-89ec-de8b0dac02ff.FPKM.txt.gz	da84f3e8a0f63629696b36374e088d16	531668	released
8d030ca3-3e8e-4a83-bcd1-ad7e22d72ace	9ca81dc4-63f0-4b10-b60d-47a1dcff085a.FPKM.txt.gz	113f2e422c9c04cad49629ffb480c820	321222	released
af83aa44-b167-4f6a-8202-4b5a83741961	e9bab780-f02c-4da0-899c-a4933885ed35.FPKM.txt.gz	80059f3bc95638f3fdd865d3ef127276	315467	released
b3c1600b-5724-493d-990b-b05d9e7afd2c	c2509735-b603-4827-b948-7155e5b86105.FPKM.txt.gz	36ea6f19a71c089b5c1460daf74011ae	310247	released
6fae4167-029f-499e-b238-9d8b4618e943	562bf4e1-a1be-492a-b7be-a45deed634fb.FPKM.txt.gz	2b04bdf77ace3a861a09d99c4d27675e	334371	released
25fc1099-d514-48df-92ec-ac57693052f0	f1e2c7ed-dbe1-4999-9310-291a43c61ee9.FPKM.txt.gz	cc9058f53c9309d4403affe8a6d514bc	338820	released
f41055c1-22b4-4a25-ab3d-e75ca61d26f6	7eba7893-de1d-4c45-ad68-3f15f5cadb1b.FPKM.txt.gz	0fd88c33c6698a600ad9fcb8572547b9	340436	released
0bc94a9d-9439-47d3-9b5d-d0053a5e9841	a52e6c9d-b7ff-42d1-a99e-4b5ebb621573.FPKM.txt.gz	e0dc3a57bb08d0f191e9c70598d9f0e4	333499	released
5c3daab9-bce5-4005-8c12-83a55111b42e	44bffc42-4fa6-4c81-af00-50e50828dae9.FPKM.txt.gz	9be98522fb2e35bfe08510e0be2c3f69	342456	released
973aad06-c4e2-47a6-8cc9-89fd81158d3f	2fe323ec-92df-4905-be46-501143bf6684.FPKM.txt.gz	6a5dc954e01ee5a8d2eb02d1e767c62e	335824	released
2d9f0135-9226-474b-94a7-26a5202b41b8	b4f5d1b5-bee1-44c2-b8c8-fb492fb08daa.FPKM.txt.gz	ec4273e3dd5cdb95345040b4c6badb73	338421	released
f189e65d-147a-4f55-887c-d5c4c44db281	cb6f6f4e-2887-42ff-941f-1ec3606d1a4f.FPKM.txt.gz	a7b637be035d0f8a3c40925c57dc1b2b	337986	released
6e1f54d6-d459-4873-b2ac-046e134d619e	9d2cc88c-586a-47af-976b-f630ae09cad3.FPKM.txt.gz	7af8f32211912d3b117cc35aacbd4f4c	331188	released
76842863-c7ac-4deb-90d3-f8ef4d21f335	f417f762-191d-442d-9d30-dc18df055a9b.FPKM.txt.gz	dd75751367608477ce18cfda2df32700	336751	released
7fa6c7b3-307c-4fa0-925b-c9f5b905aa61	2ba795a6-5ebb-42ac-bd80-02cd2324f7aa.FPKM.txt.gz	43c2a6518159f84928e78ef081518d22	340879	released
74319c56-851b-4a1e-97bd-d28efe2a8508	014d8647-c848-44b0-9f06-d3adde1deed1.FPKM.txt.gz	17ff22b04ea4aed5601c0af9ea6ac6d8	337899	released
ec7a4fbe-7c29-477b-98b3-1b4b3afe891a	1d41c6d9-ff97-4317-87e5-94e0edc3c2c4.FPKM.txt.gz	f072f0ba5a8ab99f7758b24af13d57a8	341565	released
9265980d-1352-4805-831e-8e5521790845	b95a5be3-40e2-4afc-9781-1ea0f2f21674.FPKM.txt.gz	377bbd27cb9ec316ea3faff74c8fffb1	338927	released
390664a3-dd67-470d-8847-1e7be85e0a5f	eeef80b7-df86-4e8f-831f-48b44b5f5076.FPKM.txt.gz	52fb1008e9c8c48b66a425d106b5d325	332691	released
783520af-4439-4b75-9311-d8e250864e29	1a6a9782-3d4d-4192-880e-b9ce64209a67.FPKM.txt.gz	a01bacb38ece4523db317e1bf0d2bf21	338531	released
d4f6ee2c-ba6d-4f92-9434-5c83aea8056b	0d9ce7db-e965-447f-8695-7f41712b6eec.FPKM.txt.gz	4867e1a2d639bf8ed5858aca6834912c	338858	released
d9ff4921-680c-4e7e-b1b2-558c046b5495	40b5a6d0-29fd-4852-bfe6-4b9a059408e6.FPKM.txt.gz	a3e3056f5dd092a4456cb6d8dc8677a0	337951	released
48fa0b36-b5b0-4ee5-86dc-9e98cb71e1ce	68188ff6-3357-468a-838a-ba6ffa99ae40.FPKM.txt.gz	7268340a05f930243604df6913fda912	332230	released
f2815be6-d2d2-4af2-a86e-d530122bc6f9	34f70bb2-13b5-498f-89c1-65689110c4a2.FPKM.txt.gz	ac5bdeaa4c4a555832685a2f15fcae53	333131	released
583901e3-d32d-4e1c-9d13-911e9bc2005f	ed0b2fbd-5492-47cb-8ff7-32c5d707f83e.FPKM.txt.gz	89ed0996115f66bbcf6e045ac1fe8b74	335390	released
fdd8613d-3b85-445b-b00b-bb055b875379	925cbc8a-d472-4545-9201-80adeb96f5c4.FPKM.txt.gz	7de2676d07a695874a59b5257e00bcf2	339022	released
c68721d5-0243-40d8-ab27-1245be5a312e	bf1d364d-c666-4ab1-9e48-eb03eb02d1ba.FPKM.txt.gz	eb1907efbc96fcc8e74027741236ff76	328331	released
62700ef8-82ac-4956-b58e-71bea456e07c	36f77a1f-c3d3-4e9d-af84-9c4e72e14ea1.FPKM.txt.gz	78c67ac3672ac63c80bb4d800a0f0489	336939	released
5cea9927-ed32-40dc-a1c3-4ef64a6d32f4	8a95b044-5ec9-45b6-8e33-ed2a12d4b547.FPKM.txt.gz	bbdd7db39689dad0ee3541dace7c54f5	334489	released
1e109442-c760-43b9-81dd-855be78d4768	8eb28dc9-e242-49ac-9535-46c20a617850.FPKM.txt.gz	b7f7b88a6534488e7119a41b4e45d5a6	333307	released
b561e038-c7ea-4c8a-afb7-b6ff0ca13da8	5bea1d3c-3d2a-4b05-a8a8-5bca39f1730d.FPKM.txt.gz	fcd46ea68dd474616e4a0add28b5f0cb	336780	released
960ac786-8e0b-4c6f-8246-a87008c86038	d6bce1d5-c078-45ad-b072-6fc2806cbd87.FPKM.txt.gz	11f7ed744ed2b960042113f5b4ace8c9	339994	released
002f0cce-4af6-4d78-bb1d-f6a166876c74	b9f01695-4449-4301-ada1-98319e2afc48.FPKM.txt.gz	6d4fd02524f5c6779a55c43f99675cf1	332470	released
2b52bc74-ab61-432e-b44f-70859f0d8022	6746a704-129c-450f-8c9b-9593fe8ce254.FPKM.txt.gz	c4db842bb889b41066457862aaf1418e	338632	released
2fa93f85-0ab7-45ea-b9d5-35ad0a48a8a5	7d6ec3fe-cd8c-4e85-9129-f933d6fd4262.FPKM.txt.gz	d32332ae633d87dbb735855a8078b98c	329357	released
5242e4ef-30ba-447b-b7d3-d0849fb5836d	bc84a8c1-c9ed-4414-8f45-3a555ce1ae55.FPKM.txt.gz	285c5c392e3e91d12e3710f2a15ceb6f	334926	released
97b607bb-9578-43ac-af91-45e160131a87	343528e3-e3b5-48b2-8fa8-5c3cce91f4c4.FPKM.txt.gz	e40f8f3330260baccbd294a8d07d2fea	334728	released
465b2348-b8a0-4bfc-90e8-e327d0164108	69421950-d3a1-429b-9fae-60e3d9ee3644.FPKM.txt.gz	5b2cb10a1329fb258b9fa975bb05a7e8	338983	released
b2c8e168-ca75-4bbf-8c9b-c196cbfafe75	a7cb18ad-72cb-4084-bd5f-83c90b192ac7.FPKM.txt.gz	d870d801fff5c09cc2bd0b36ce00836b	338488	released
ddab03f5-4aa1-4560-b31f-e7050038e2d2	d0fdeaae-4ea4-40c1-84ca-d587d14d7e1d.FPKM.txt.gz	59c077974eedefc9f405967b3c737811	333836	released
66e2cd72-72c8-4926-8ee8-f5c873b8303d	9886cf63-d085-4f07-96b4-5fe796575c0e.FPKM.txt.gz	76b65058c3b73b86833588f6047e3956	338461	released
600c2650-f8d1-4753-8c43-a61ab249b8cb	f771a20d-01b9-46bf-a96a-9a296eed132e.FPKM.txt.gz	69b778f835eb434be9094b19aba1b8c2	326990	released
6db9e88b-7f08-4bac-9d1b-fadfee50c03f	c7472df2-fb71-4c5a-bc85-a7b9b8650e6a.FPKM.txt.gz	a2597a7000316201c124979d13915d6e	331899	released
87a40a05-60c1-4924-90b0-2fd010906f38	1765d754-fb6d-4149-8aa7-3a72350d9835.FPKM.txt.gz	ccd33a87ba1595016eef265c7777a27e	338655	released
9ee49d7d-bec8-4527-a52f-158df4d7e480	2ac2766f-101b-4822-b076-0ed77463ef52.FPKM.txt.gz	c63f70e8ee1c019814f05a0cccfc52eb	341492	released
ea0ca211-1164-4255-8a43-4e76c2a7b4c9	0c1e50be-47ff-43d1-839a-b9550399b505.FPKM.txt.gz	ce619a61adc2a4ec6d35b78558e0cc90	332828	released
3e3e1166-5f61-4a91-b124-0e7230354f3f	300ca7c4-6b67-4d67-a2f1-beb91f837197.FPKM.txt.gz	be43a6467de6eff8e0e116b78e083736	332189	released
e9bc2d9e-7d76-46b4-b46f-c8abbd8c8225	0f4832e1-74af-47bc-812f-f4055c9f6aab.FPKM.txt.gz	94ce1f7ddb097332b6363273805002ad	332801	released
738c6cec-92a4-40ef-8d09-c54e2526dcf6	1d6b1b5b-09a6-4d4e-9424-02bea3541c46.FPKM.txt.gz	83fd2a6d61e117d7f9779b80069293bb	338630	released
92856236-e8ab-4856-ac05-83dc70a97197	27c0b49c-50ad-4c52-a33d-1728f3f019fd.FPKM.txt.gz	bf8f7be98766415fad1be9bc3d549ac7	339073	released
482fcbc8-40af-4d64-92ad-a00865f52c73	765b28de-53ab-4a2e-9b44-20e02f5468fb.FPKM.txt.gz	d52ba95ac0ef6a339f71f62230dd2371	336556	released
2e1d6c30-e0da-4ca4-9b66-61657e5e0f32	d0d6b8ac-9a91-4158-adfa-19656814cf47.FPKM.txt.gz	a25d93c664e3ff88d732966bbd2e45d7	341321	released
038ffb3a-966d-4d50-b525-2be95923ca33	7c41c293-4435-4ee7-bc67-132e9f69b692.FPKM.txt.gz	d0101fefb49e63fe9eaf489304e533ba	332899	released
438784fa-b34f-489a-8a6e-df98263d65ca	749f5ed7-b35a-44d6-80a8-3a3a2b3531c0.FPKM.txt.gz	cb39b83cfe7bd5a376c103d927e56109	339873	released
13e9a1ab-bec0-468e-9f7d-4fabdb1aa856	fbd5a352-7ac9-4e9b-951b-b6c9051744bc.FPKM.txt.gz	07eb4fb445dc3785482e1e9e4282aebf	336847	released
c7ea7b2a-accc-4149-bbfa-5283028d7f6d	1ed16337-3b31-4c04-b24d-85a4d1923c47.FPKM.txt.gz	ccbe382efdb39ec7ed89bcc956ea272b	340142	released
39ee4ed7-fb79-4f88-81e8-e9448e99fa56	0800bd4a-ed3e-40e2-95ae-ecc9bbc93c73.FPKM.txt.gz	4220ebad50d9fbd1e2e9ef5837709ccf	337655	released
